Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Anthony Davis,31,LAL,PF,4,4,148,44,80,0.55,2,7,0.286,42,73,0.575,0.563,41,51,0.804,12,36,48,13,6,10,7,5,131,,davisan02
2,Nikola Jokić,29,DEN,C,4,4,156,47,82,0.573,11,20,0.55,36,62,0.581,0.64,21,27,0.778,16,33,49,37,5,5,12,10,126,,jokicni01
3,Anthony Edwards,23,MIN,SG,4,4,157,41,90,0.456,22,53,0.415,19,37,0.514,0.578,16,25,0.64,1,24,25,14,2,2,16,11,120,,edwaran01
4,Cam Thomas,23,BRK,SG,4,4,142,39,87,0.448,13,34,0.382,26,53,0.491,0.523,27,29,0.931,4,15,19,11,5,0,9,11,118,,thomaca02
5,Kevin Durant,36,PHO,SF,4,4,160,40,75,0.533,10,22,0.455,30,53,0.566,0.6,26,32,0.813,0,28,28,12,4,7,13,9,116,,duranke01
6,Giannis Antetokounmpo,30,MIL,PF,4,4,139,44,71,0.62,0,3,0,44,68,0.647,0.62,27,49,0.551,4,43,47,25,1,2,17,12,115,,antetgi01
7,Jalen Green,22,HOU,SG,4,4,138,38,88,0.432,19,46,0.413,19,42,0.452,0.54,20,24,0.833,3,12,15,11,3,1,8,6,115,,greenja05
8,Paolo Banchero,22,ORL,SF,4,4,145,36,75,0.48,9,23,0.391,27,52,0.519,0.54,33,52,0.635,12,25,37,24,3,4,7,11,114,,banchpa01
9,Jayson Tatum,26,BOS,SF,4,4,134,41,80,0.513,18,43,0.419,23,37,0.622,0.625,14,20,0.7,3,24,27,22,6,3,6,12,114,,tatumja01
10,Damian Lillard,34,MIL,PG,4,4,142,32,68,0.471,12,39,0.308,20,29,0.69,0.559,36,39,0.923,5,19,24,25,2,1,13,6,112,,lillada01
11,Luka Dončić,25,DAL,PG,4,4,149,36,99,0.364,11,41,0.268,25,58,0.431,0.419,24,30,0.8,3,34,37,28,4,3,11,14,107,,doncilu01
12,Cade Cunningham,23,DET,PG,4,4,147,42,87,0.483,10,27,0.37,32,60,0.533,0.54,12,15,0.8,3,20,23,30,4,5,23,12,106,,cunnica01
13,Trae Young,26,ATL,PG,4,4,151,27,69,0.391,11,37,0.297,16,32,0.5,0.471,41,46,0.891,4,18,22,43,6,2,26,8,106,,youngtr01
14,Jaylen Brown,28,BOS,SF,4,4,136,33,81,0.407,11,28,0.393,22,53,0.415,0.475,27,33,0.818,7,24,31,13,6,0,9,8,104,,brownja02
15,Zach LaVine,29,CHI,SG,4,4,139,37,67,0.552,16,35,0.457,21,32,0.656,0.672,14,17,0.824,2,20,22,11,3,3,16,5,104,,lavinza01
16,Brandon Ingram,27,NOP,SF,4,4,130,40,77,0.519,10,23,0.435,30,54,0.556,0.584,8,9,0.889,6,21,27,14,4,2,10,11,98,,ingrabr01
17,Domantas Sabonis,28,SAC,C,4,4,145,36,53,0.679,6,11,0.545,30,42,0.714,0.736,19,25,0.76,9,35,44,22,3,2,12,14,97,,sabondo01
18,LaMelo Ball,23,CHO,PG,3,3,103,29,62,0.468,15,36,0.417,14,26,0.538,0.589,22,24,0.917,4,17,21,22,3,2,17,14,95,,ballla01
19,Kyrie Irving,32,DAL,PG,4,4,141,36,76,0.474,14,26,0.538,22,50,0.44,0.566,9,11,0.818,5,10,15,21,7,2,6,10,95,,irvinky01
20,Donovan Mitchell,28,CLE,SG,4,4,120,35,70,0.5,12,32,0.375,23,38,0.605,0.586,13,18,0.722,2,8,10,18,7,1,13,9,95,,mitchdo01
21,Tyrese Maxey,24,PHI,PG,3,3,128,30,86,0.349,9,38,0.237,21,48,0.438,0.401,25,31,0.806,0,12,12,11,3,3,7,9,94,,maxeyty01
22,Julius Randle,30,MIN,PF,4,4,140,34,56,0.607,10,16,0.625,24,40,0.6,0.696,15,21,0.714,8,22,30,20,2,0,12,12,93,,randlju01
23,Devin Booker,28,PHO,SG,4,4,144,29,65,0.446,13,31,0.419,16,34,0.471,0.546,21,24,0.875,3,8,11,17,4,2,9,13,92,,bookede01
24,DeMar DeRozan,35,SAC,SG,4,4,148,32,58,0.552,2,7,0.286,30,51,0.588,0.569,26,31,0.839,3,13,16,16,8,1,6,4,92,,derozde01
25,Dennis Schröder,31,BRK,PG,4,4,143,30,61,0.492,15,29,0.517,15,32,0.469,0.615,15,18,0.833,0,8,8,33,3,0,12,15,90,,schrode01
26,De'Aaron Fox,27,SAC,PG,4,4,144,32,69,0.464,7,24,0.292,25,45,0.556,0.514,15,16,0.938,3,15,18,30,6,0,14,13,86,,foxde01
27,Shai Gilgeous-Alexander,26,OKC,SG,3,3,102,31,69,0.449,7,23,0.304,24,46,0.522,0.5,17,19,0.895,6,20,26,19,9,6,4,6,86,,gilgesh01
28,Jerami Grant,30,POR,PF,4,4,131,29,70,0.414,13,35,0.371,16,35,0.457,0.507,14,18,0.778,1,20,21,8,5,9,10,10,85,,grantje01
29,Buddy Hield,32,GSW,SG,4,1,91,30,58,0.517,20,36,0.556,10,22,0.455,0.69,5,5,1,2,14,16,10,4,1,5,8,85,,hieldbu01
30,Desmond Bane,26,MEM,SG,4,4,116,32,65,0.492,12,30,0.4,20,35,0.571,0.585,8,9,0.889,4,17,21,14,5,3,7,14,84,,banede01
31,Jaden Ivey,22,DET,SG,4,4,131,29,63,0.46,9,21,0.429,20,42,0.476,0.532,16,22,0.727,8,11,19,15,4,0,8,11,83,,iveyja01
32,Nikola Vučević,34,CHI,C,4,4,130,31,60,0.517,11,21,0.524,20,39,0.513,0.608,10,11,0.909,9,32,41,12,0,2,6,12,83,,vucevni01
33,Franz Wagner,23,ORL,SF,4,4,107,30,56,0.536,11,25,0.44,19,31,0.613,0.634,11,12,0.917,4,14,18,13,6,1,9,8,82,,wagnefr01
34,LeBron James,40,LAL,SF,4,4,139,29,65,0.446,9,23,0.391,20,42,0.476,0.515,13,19,0.684,0,28,28,30,1,3,11,8,80,,jamesle01
35,Anfernee Simons,25,POR,SG,4,4,133,23,61,0.377,10,33,0.303,13,28,0.464,0.459,22,24,0.917,0,6,6,19,4,0,15,7,78,,simonan01
36,Scottie Barnes,23,TOR,SF,4,4,134,29,63,0.46,2,11,0.182,27,52,0.519,0.476,17,23,0.739,10,21,31,24,8,2,16,12,77,,barnesc01
37,Darius Garland,25,CLE,PG,4,4,112,29,53,0.547,13,26,0.5,16,27,0.593,0.67,6,6,1,1,7,8,20,5,2,12,13,77,,garlada01
38,Austin Reaves,26,LAL,SG,4,4,144,29,53,0.547,12,25,0.48,17,28,0.607,0.66,7,10,0.7,8,20,28,21,6,2,11,14,77,,reaveau01
39,James Harden,35,LAC,SG,3,3,113,21,58,0.362,5,26,0.192,16,32,0.5,0.405,28,31,0.903,4,21,25,35,2,1,20,9,75,,hardeja01
40,CJ McCollum,33,NOP,SG,4,4,137,29,65,0.446,13,34,0.382,16,31,0.516,0.546,4,6,0.667,1,13,14,16,9,4,8,6,75,,mccolcj01
41,Jamal Murray,27,DEN,PG,4,4,152,25,66,0.379,7,20,0.35,18,46,0.391,0.432,18,20,0.9,3,17,20,19,5,0,6,8,75,,murraja01
42,Norman Powell,31,LAC,SG,3,3,101,27,52,0.519,10,25,0.4,17,27,0.63,0.615,10,12,0.833,2,6,8,4,1,2,4,5,74,,powelno01
43,Pascal Siakam,30,IND,PF,4,4,129,30,55,0.545,5,16,0.313,25,39,0.641,0.591,9,12,0.75,7,20,27,21,4,1,5,8,74,,siakapa01
44,Coby White,24,CHI,PG,4,4,131,25,60,0.417,12,37,0.324,13,23,0.565,0.517,12,15,0.8,1,19,20,19,6,1,10,7,74,,whiteco01
45,Derrick White,30,BOS,SG,4,4,129,25,51,0.49,13,33,0.394,12,18,0.667,0.618,10,11,0.909,3,13,16,19,3,4,2,6,73,,whitede01
46,Lauri Markkanen,27,UTA,PF,4,4,114,20,52,0.385,9,20,0.45,11,32,0.344,0.471,23,27,0.852,8,21,29,7,1,0,7,4,72,,markkla01
47,Chet Holmgren,22,OKC,PF,3,3,98,27,48,0.563,3,15,0.2,24,33,0.727,0.594,14,21,0.667,9,30,39,9,4,12,7,6,71,,holmgch01
48,Evan Mobley,23,CLE,C,4,4,127,26,51,0.51,4,8,0.5,22,43,0.512,0.549,15,17,0.882,6,30,36,11,6,10,8,11,71,,mobleev01
49,Rui Hachimura,26,LAL,PF,4,4,143,25,57,0.439,8,13,0.615,17,44,0.386,0.509,12,15,0.8,14,17,31,8,3,2,2,9,70,,hachiru01
50,Jarrett Allen,26,CLE,C,4,4,114,25,31,0.806,0,0,,25,31,0.806,0.806,19,24,0.792,8,30,38,5,4,7,4,4,69,,allenja01
51,Jalen Brunson,28,NYK,PG,3,3,92,27,57,0.474,4,11,0.364,23,46,0.5,0.509,11,14,0.786,2,7,9,14,0,0,6,6,69,,brunsja01
52,Ivica Zubac,27,LAC,C,3,3,110,29,49,0.592,0,0,,29,49,0.592,0.592,10,15,0.667,11,31,42,13,2,2,10,11,68,,zubaciv01
53,Jalen Suggs,23,ORL,SG,4,4,100,20,44,0.455,14,31,0.452,6,13,0.462,0.614,13,14,0.929,1,18,19,15,7,2,8,7,67,,suggsja01
54,Jordan Poole,25,WAS,SG,3,3,89,22,43,0.512,16,26,0.615,6,17,0.353,0.698,6,6,1,1,2,3,15,9,1,8,8,66,,poolejo01
55,Klay Thompson,34,DAL,SG,4,4,117,23,51,0.451,17,40,0.425,6,11,0.545,0.618,3,3,1,4,10,14,5,5,0,2,6,66,,thompkl01
56,Payton Pritchard,27,BOS,SG,4,0,100,21,43,0.488,19,38,0.5,2,5,0.4,0.709,4,4,1,3,9,12,9,3,0,3,6,65,,pritcpa01
57,Gradey Dick,21,TOR,SG,4,4,119,22,51,0.431,9,26,0.346,13,25,0.52,0.52,11,11,1,2,3,5,7,2,3,3,10,64,,dickgr01
58,Scoot Henderson,20,POR,PG,4,0,115,21,51,0.412,3,14,0.214,18,37,0.486,0.441,19,22,0.864,3,11,14,22,3,0,13,14,64,,hendesc01
59,Jalen Johnson,23,ATL,SF,4,4,146,22,54,0.407,3,13,0.231,19,41,0.463,0.435,16,24,0.667,6,32,38,16,6,5,15,16,63,,johnsja05
60,Kelly Oubre Jr.,29,PHI,SF,3,3,107,23,53,0.434,4,16,0.25,19,37,0.514,0.472,13,17,0.765,4,8,12,3,4,0,7,12,63,,oubreke01
61,Santi Aldama,24,MEM,PF,4,3,116,24,43,0.558,10,22,0.455,14,21,0.667,0.674,4,4,1,6,24,30,17,0,4,7,4,62,,aldamsa01
62,Jordan Clarkson,32,UTA,SG,4,1,101,22,53,0.415,5,22,0.227,17,31,0.548,0.462,13,18,0.722,3,13,16,16,0,1,8,7,62,,clarkjo01
63,Aaron Gordon,29,DEN,PF,4,4,144,20,41,0.488,4,10,0.4,16,31,0.516,0.537,18,21,0.857,13,17,30,14,4,2,8,8,62,,gordoaa01
64,Ja Morant,25,MEM,PG,3,3,76,19,41,0.463,2,12,0.167,17,29,0.586,0.488,22,26,0.846,0,7,7,22,1,1,12,8,62,,moranja01
65,Zion Williamson,24,NOP,PF,3,3,88,19,46,0.413,1,3,0.333,18,43,0.419,0.424,22,32,0.688,7,15,22,14,1,5,11,9,61,,willizi01
66,Myles Turner,28,IND,C,4,4,122,21,44,0.477,6,19,0.316,15,25,0.6,0.545,12,19,0.632,2,23,25,7,4,8,13,18,60,,turnemy01
67,Victor Wembanyama,21,SAS,PF,3,3,94,21,49,0.429,4,18,0.222,17,31,0.548,0.469,14,16,0.875,8,28,36,7,0,8,11,7,60,,wembavi01
68,John Collins,27,UTA,PF,4,0,84,21,51,0.412,5,16,0.313,16,35,0.457,0.461,12,12,1,9,16,25,7,4,4,9,16,59,,collijo01
69,Cameron Johnson,28,BRK,PF,4,4,136,20,48,0.417,12,35,0.343,8,13,0.615,0.542,7,9,0.778,2,17,19,10,4,2,3,12,59,,johnsca02
70,Alperen Sengun,22,HOU,C,4,4,114,22,57,0.386,4,8,0.5,18,49,0.367,0.421,11,16,0.688,17,33,50,14,8,2,9,15,59,,sengual01
71,Fred VanVleet,30,HOU,PG,4,4,148,18,53,0.34,14,38,0.368,4,15,0.267,0.472,9,12,0.75,3,9,12,25,8,0,4,11,59,,vanvlfr01
72,Andrew Wiggins,29,GSW,SF,3,3,76,22,40,0.55,11,19,0.579,11,21,0.524,0.688,4,5,0.8,7,13,20,7,1,3,3,8,59,,wiggian01
73,Jordan Hawkins,22,NOP,SG,4,0,117,18,40,0.45,9,18,0.5,9,22,0.409,0.563,13,13,1,2,19,21,5,1,1,6,5,58,,hawkijo01
74,Terry Rozier,30,MIA,PG,3,3,97,19,43,0.442,10,25,0.4,9,18,0.5,0.558,10,10,1,0,16,16,11,1,2,7,6,58,,roziete01
75,Deandre Ayton,26,POR,C,4,4,129,27,52,0.519,1,3,0.333,26,49,0.531,0.529,2,3,0.667,13,36,49,5,2,3,5,10,57,,aytonde01
76,Josh Giddey,22,CHI,SG,4,4,109,21,45,0.467,6,13,0.462,15,32,0.469,0.533,9,15,0.6,7,24,31,24,1,1,10,4,57,,giddejo01
77,Keegan Murray,24,SAC,SF,4,4,148,21,51,0.412,9,27,0.333,12,24,0.5,0.5,6,6,1,8,20,28,6,3,2,3,11,57,,murrake02
78,Jeremy Sochan,21,SAS,PF,3,3,98,23,44,0.523,1,4,0.25,22,40,0.55,0.534,10,14,0.714,10,17,27,9,2,1,9,10,57,,sochaje01
79,Christian Braun,23,DEN,SG,4,4,142,21,39,0.538,4,11,0.364,17,28,0.607,0.59,10,12,0.833,5,16,21,7,4,7,5,11,56,,braunch01
80,Mikal Bridges,28,NYK,SF,3,3,108,24,40,0.6,5,14,0.357,19,26,0.731,0.663,3,5,0.6,5,2,7,10,3,1,4,8,56,,bridgmi01
81,Tyrese Haliburton,24,IND,PG,4,4,133,20,59,0.339,9,34,0.265,11,25,0.44,0.415,7,11,0.636,5,14,19,21,5,3,8,7,56,,halibty01
82,Jalen Williams,23,OKC,SG,3,3,99,23,55,0.418,3,15,0.2,20,40,0.5,0.445,7,12,0.583,5,16,21,16,2,2,7,8,56,,willija06
83,Stephen Curry,36,GSW,PG,3,3,79,17,41,0.415,11,27,0.407,6,14,0.429,0.549,10,10,1,0,16,16,20,6,1,11,4,55,,curryst01
84,Tyler Herro,25,MIA,SG,3,3,95,19,45,0.422,8,24,0.333,11,21,0.524,0.511,9,10,0.9,1,13,14,14,2,1,6,4,55,,herroty01
85,Tre Mann,23,CHO,PG,3,0,86,19,46,0.413,8,20,0.4,11,26,0.423,0.5,9,9,1,6,8,14,9,2,1,7,7,55,,manntr01
86,Naz Reid,25,MIN,C,4,0,100,17,33,0.515,8,18,0.444,9,15,0.6,0.636,13,13,1,2,28,30,7,1,1,8,8,55,,reidna01
87,Collin Sexton,26,UTA,SG,4,3,91,18,39,0.462,2,10,0.2,16,29,0.552,0.487,17,21,0.81,1,9,10,7,2,1,13,7,55,,sextoco01
88,Bradley Beal,31,PHO,SG,3,3,109,20,40,0.5,8,19,0.421,12,21,0.571,0.6,6,7,0.857,0,7,7,14,5,3,5,9,54,,bealbr01
89,Miles Bridges,26,CHO,SF,3,3,98,19,42,0.452,5,17,0.294,14,25,0.56,0.512,10,12,0.833,3,20,23,4,1,3,6,6,53,,bridgmi02
90,Jrue Holiday,34,BOS,PG,4,4,122,17,30,0.567,10,17,0.588,7,13,0.538,0.733,9,10,0.9,3,10,13,12,1,1,6,9,53,,holidjr01
91,Michael Porter Jr.,26,DEN,SF,4,4,150,21,53,0.396,8,27,0.296,13,26,0.5,0.472,3,5,0.6,6,25,31,9,4,1,3,9,53,,portemi01
92,Jimmy Butler,35,MIA,SF,3,3,96,15,34,0.441,1,6,0.167,14,28,0.5,0.456,21,30,0.7,8,8,16,20,7,2,2,5,52,,butleji01
93,Tim Hardaway Jr.,32,DET,SG,4,4,122,14,32,0.438,11,23,0.478,3,9,0.333,0.609,13,13,1,0,6,6,5,1,0,2,7,52,,hardati02
94,Dyson Daniels,21,ATL,PG,4,4,130,21,42,0.5,6,17,0.353,15,25,0.6,0.571,3,8,0.375,5,12,17,9,11,4,3,13,51,,daniedy01
95,Keyonte George,21,UTA,SG,4,4,127,16,61,0.262,7,31,0.226,9,30,0.3,0.32,12,16,0.75,3,10,13,26,3,0,13,4,51,,georgke01
96,Kyle Kuzma,29,WAS,PF,3,3,92,17,52,0.327,5,18,0.278,12,34,0.353,0.375,12,16,0.75,5,16,21,11,1,1,7,3,51,,kuzmaky01
97,Malik Monk,26,SAC,SG,4,0,99,17,40,0.425,8,22,0.364,9,18,0.5,0.525,8,10,0.8,0,12,12,12,2,2,2,7,50,,monkma01
98,Ochai Agbaji,24,TOR,SG,4,3,111,20,34,0.588,5,11,0.455,15,23,0.652,0.662,4,7,0.571,10,13,23,4,6,2,5,11,49,,agbajoc01
99,Jay Huff,26,MEM,C,4,0,75,17,27,0.63,10,17,0.588,7,10,0.7,0.815,5,5,1,2,10,12,3,2,7,1,7,49,,huffja01
100,Bennedict Mathurin,22,IND,SG,4,0,86,16,28,0.571,5,13,0.385,11,15,0.733,0.661,12,17,0.706,2,10,12,4,1,0,6,9,49,,mathube01
101,Onyeka Okongwu,24,ATL,C,3,0,78,17,27,0.63,2,4,0.5,15,23,0.652,0.667,13,15,0.867,6,13,19,5,2,3,2,6,49,,okongon01
102,Jakob Poeltl,29,TOR,C,4,4,124,18,36,0.5,0,0,,18,36,0.5,0.5,13,17,0.765,15,32,47,10,1,6,12,14,49,,poeltja01
103,Bilal Coulibaly,20,WAS,SF,3,3,102,15,30,0.5,5,14,0.357,10,16,0.625,0.583,13,16,0.813,4,10,14,10,3,0,8,6,48,,coulibi01
104,Josh Hart,29,NYK,SG,3,3,99,16,31,0.516,3,13,0.231,13,18,0.722,0.565,13,16,0.813,8,19,27,8,4,0,9,2,48,,hartjo01
105,Kevin Huerter,26,SAC,SG,4,4,106,19,34,0.559,10,24,0.417,9,10,0.9,0.706,0,0,,1,11,12,5,4,4,1,9,48,,huertke01
106,Moritz Wagner,27,ORL,C,4,0,60,18,30,0.6,4,10,0.4,14,20,0.7,0.667,8,10,0.8,5,11,16,3,1,2,6,14,48,,wagnemo01
107,Malik Beasley,28,DET,SG,4,0,96,16,46,0.348,11,27,0.407,5,19,0.263,0.467,4,5,0.8,0,10,10,3,1,1,4,4,47,,beaslma01
108,Moses Moody,22,GSW,SG,4,1,63,17,32,0.531,11,21,0.524,6,11,0.545,0.703,2,4,0.5,1,6,7,4,2,1,5,6,47,,moodymo01
109,Jabari Smith Jr.,21,HOU,PF,4,4,129,15,38,0.395,5,16,0.313,10,22,0.455,0.461,11,13,0.846,11,25,36,7,1,3,6,16,46,,smithja05
110,Jalen Smith,24,CHI,PF,4,0,55,14,26,0.538,8,14,0.571,6,12,0.5,0.692,10,15,0.667,8,15,23,2,2,0,1,10,46,,smithja04
111,Karl-Anthony Towns,29,NYK,C,3,3,88,14,28,0.5,4,6,0.667,10,22,0.455,0.571,14,15,0.933,5,27,32,6,2,2,3,9,46,,townska01
112,Brook Lopez,36,MIL,C,4,4,126,16,44,0.364,5,21,0.238,11,23,0.478,0.42,8,9,0.889,5,17,22,7,4,13,7,11,45,,lopezbr01
113,Bobby Portis,29,MIL,PF,4,0,100,20,39,0.513,3,9,0.333,17,30,0.567,0.551,2,2,1,6,25,31,6,3,3,9,5,45,,portibo01
114,P.J. Washington,26,DAL,PF,4,4,127,19,45,0.422,6,22,0.273,13,23,0.565,0.489,1,2,0.5,9,21,30,7,7,3,4,12,45,,washipj01
115,Miles McBride,24,NYK,PG,3,0,76,17,26,0.654,8,13,0.615,9,13,0.692,0.808,2,3,0.667,1,4,5,8,0,0,4,6,44,,mcbrimi01
116,Scotty Pippen Jr.,24,MEM,PG,4,0,100,18,35,0.514,5,10,0.5,13,25,0.52,0.586,3,6,0.5,4,11,15,33,6,3,9,14,44,,pippesc02
117,D'Angelo Russell,28,LAL,PG,4,4,129,16,42,0.381,7,25,0.28,9,17,0.529,0.464,5,5,1,2,6,8,23,5,1,7,11,44,,russeda01
118,Dillon Brooks,29,HOU,SG,4,4,135,14,39,0.359,7,20,0.35,7,19,0.368,0.449,8,8,1,7,9,16,1,3,1,1,14,43,,brookdi01
119,Jalen Duren,21,DET,C,4,4,117,18,21,0.857,0,0,,18,21,0.857,0.857,7,12,0.583,14,26,40,13,1,6,5,11,43,,durenja01
120,Dorian Finney-Smith,31,BRK,PF,4,4,118,15,39,0.385,7,27,0.259,8,12,0.667,0.474,6,11,0.545,7,15,22,7,5,3,3,13,43,,finnedo01
121,Ty Jerome,27,CLE,SG,4,0,57,15,24,0.625,3,6,0.5,12,18,0.667,0.688,10,12,0.833,3,3,6,13,6,0,5,3,43,,jeromty01
